"Prospect Name","Domain","Relevant URL","Category","Country/Market","Audience","Why Relevant to Nexora","Observed Link Opportunity","Suggested Nexora Target Page","Suggested Pitch Angle","Contact Route","Contact Page","Editorial/Submission Guidelines","Quality Rating","Relevance Rating","Difficulty Rating","Lead Potential","Link Potential","Priority Score","Status","Notes"
"EnergySage","energysage.com","https://www.energysage.com/solar/","Solar marketplace / consumer education","United States / national or stated audience","US homeowners","Active, editorially credible solar marketplace / consumer education with audience overlap around homeowner solar decisions.","Evidence-led resource inclusion or expert contribution","future solar system-size estimator","Independent sizing/checklist resource for homeowners","Editorial/contact route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","8","7","7","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Solar.com","solar.com","https://solar.com/learn/","Solar consumer education","United States / national or stated audience","US homeowners","Active, editorially credible solar consumer education with audience overlap around homeowner solar decisions.","Evidence-led resource inclusion or expert contribution","future solar system-size estimator","Independent sizing/checklist resource for homeowners","Editorial/contact route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","8","7","7","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"SolarReviews","solarreviews.com","https://www.solarreviews.com/blog","Solar consumer education","United States / national or stated audience","US homeowners","Active, editorially credible solar consumer education with audience overlap around homeowner solar decisions.","Evidence-led resource inclusion or expert contribution","future solar system-size estimator","Independent sizing/checklist resource for homeowners","Editorial/contact route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","7","8","7","7","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: AFTER ESTIMATOR."
"Solar Power World","solarpowerworldonline.com","https://www.solarpowerworldonline.com/","Solar trade publication","United States / national or stated audience","US solar industry","Active, editorially credible solar trade publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"pv magazine USA","pv-magazine-usa.com","https://pv-magazine-usa.com/","Solar trade publication","United States / national or stated audience","US energy professionals","Active, editorially credible solar trade publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Renewable Energy World","renewableenergyworld.com","https://www.renewableenergyworld.com/article-guidelines/","Renewable-energy publication","United States / national or stated audience","Energy professionals","Active, editorially credible renewable-energy publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Solar Builder","solarbuildermag.com","https://solarbuildermag.com/","Solar trade publication","United States / national or stated audience","Solar professionals","Active, editorially credible solar trade publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"PV Tech","pv-tech.org","https://www.pv-tech.org/","Solar trade publication","United States / national or stated audience","Global solar professionals","Active, editorially credible solar trade publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"North American Clean Energy","nacleanenergy.com","https://www.nacleanenergy.com/","Clean-energy publication","United States / national or stated audience","North American energy professionals","Active, editorially credible clean-energy publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Canary Media","canarymedia.com","https://www.canarymedia.com/","Clean-energy journalism","United States / national or stated audience","Energy-aware consumers","Active, editorially credible clean-energy journalism with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"CleanTechnica","cleantechnica.com","https://cleantechnica.com/","Clean-energy publication","United States / national or stated audience","Clean-energy readers","Active, editorially credible clean-energy publication with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
"Energy News Network","energynews.us","https://energynews.us/","Energy journalism","United States / national or stated audience","US regional energy readers","Active, editorially credible energy journalism with audience overlap around homeowner solar decisions.","Data-led editorial pitch or expert-source contribution","future original research","Aggregated homeowner-decision insight, no sales claim","Editorial/newsroom route to verify","Unknown — verify before any approved outreach","Verify current policy before outreach; no account or submission created.","8","7","8","5","7","High","Qualified — research only","Desk-qualified from active public site and topical fit; no outreach, submission, account, or placement request made. Timing: DIGITAL PR ONLY."
