Prospect,Domain,Category,Target_URL,Contact_Name,Contact_Method,Contact_URL_or_Email,Pitch_Angle,Status,Date_Approved,Date_Contacted,Response,Follow_Up_Date,Link_Earned,Link_URL,Notes
Home Energy Magazine,homeenergy.org,Home-energy publication,https://www.nexoraglobal.agency/solar-system-size-estimator,,No current official route verified,,Conditional editorial idea on transparent early sizing,WAIT FOR VERIFIED CURRENT EDITORIAL PATH,,,,,,,Historic evidence is stale and live site timed out on 2026-08-13. Do not contact.
Green Builder Media,greenbuildermedia.com,Green-building publication,https://www.nexoraglobal.agency/solar-system-size-estimator,Matthew Power,Editor-in-Chief email,matt.power@greenbuildermedia.com,Transparent early solar-sizing resource for high-performance home readers,READY FOR OWNER APPROVAL,,,,,,,Public submissions route also available; no outreach sent.
Renewable Energy World,renewableenergyworld.com,Renewable-energy publication,Future original research,,Article guidelines,https://www.renewableenergyworld.com/article-guidelines/,Exclusive original non-promotional data story,WAIT FOR ORIGINAL DATA,,,,,,,Estimator alone is not enough.
Solar Builder,solarbuildermag.com,Solar trade publication,Future original research,,Editorial route revalidate before contact,https://solarbuildermag.com/,Sourced homeowner decision-barrier reporting,WAIT FOR ORIGINAL DATA,,,,,,,Estimator alone is not a trade-publication story.
Solar Power World,solarpowerworldonline.com,Solar trade publication,Future original research,,Editorial guidelines,https://www.solarpowerworldonline.com/solar-power-world-editorial-guidelines/,Editor-reviewed original industry insight,WAIT FOR ORIGINAL DATA,,,,,,,Guidelines require editor contact before submission and no AI-written stories.
Green Building Advisor,greenbuildingadvisor.com,Building-science publication,https://www.nexoraglobal.agency/solar-system-size-estimator,,Editorial email,fh@taunton.com,Article on model uncertainty versus roof-specific design,WAIT FOR BETTER ASSET,,,,,,,Needs independent technical review or original comparative research.
Midwest Renewable Energy Association,midwestrenew.org,Nonprofit solar education,https://www.nexoraglobal.agency/solar-system-size-estimator,,General contact,info@midwestrenew.org,Resource-review question only,WAIT FOR BETTER ASSET,,,,,,,Commercial tool needs independent review for nonprofit fit.
Solar United Neighbors,solarunitedneighbors.org,Homeowner solar nonprofit,https://www.nexoraglobal.agency/solar-system-size-estimator,,Public help desk/contact route,https://solarunitedneighbors.org/,No pitch until resource policy is confirmed,WAIT FOR BETTER ASSET,,,,,,,Protect homeowner-first independence standard.
American Solar Energy Society,ases.org,Solar education organization,https://www.nexoraglobal.agency/solar-system-size-estimator,,Contact route,https://ases.org/,Factual resource note after independent validation,WAIT FOR BETTER ASSET,,,,,,,Current estimator lacks independent review.
Build with Rise,buildwithrise.com,Sustainable-home platform,https://www.nexoraglobal.agency/solar-panel-cost,,Contact route,https://www.buildwithrise.com/,Independent quote-comparison checklist,WAIT FOR BETTER ASSET,,,,,,,Validate editorial/resource process first.
